order_item_id,order_id,item_id,quantity
1,21300,107,2
2,22656,106,1
3,36533,102,1
4,7420,103,1
5,10561,108,1
6,6019,103,1
7,10972,102,1
8,4927,105,1
9,30513,102,1
10,24134,102,2
11,40858,103,1
12,15803,107,2
13,7403,107,2
14,5695,103,1
15,41671,104,1
16,34707,108,1
17,46151,108,1
18,12500,102,1
19,47861,102,3
20,36672,107,1
21,3400,108,1
22,20102,103,1
23,36628,101,2
24,7128,108,1
25,6330,106,1
26,35892,105,1
27,32726,104,2
28,44636,104,1
29,14345,103,1
30,33431,104,2
31,10188,108,1
32,21409,101,1
33,24354,106,1
34,36699,103,1
35,33236,104,1
36,12621,101,4
37,48779,102,2
38,1616,107,1
39,44552,101,2
40,32753,101,3
41,23358,104,1
42,47580,106,3
43,11255,102,1
44,19531,101,2
45,31337,107,1
46,27106,106,3
47,13274,104,1
48,28332,106,1
49,29147,102,1
50,29927,102,1
51,615,101,1
52,21577,102,1
53,29291,105,1
54,27598,106,1
55,41980,101,1
56,3275,102,1
57,11223,105,2
58,39369,102,1
59,3432,108,4
60,32824,102,1
61,14756,106,1
62,9882,107,2
63,24283,104,1
64,32726,107,1
65,187,105,2
66,711,101,1
67,12700,104,1
68,11588,106,1
69,14464,108,1
70,10872,102,1
71,15213,108,1
72,2346,108,1
73,25712,104,1
74,32645,102,1
75,15130,106,1
76,38324,104,1
77,30120,104,1
78,12035,101,1
79,21124,102,1
80,25906,102,1
81,10634,107,1
82,6452,103,1
83,11858,102,1
84,38703,103,1
85,26233,103,1
86,37088,101,1
87,21787,106,1
88,8666,106,2
89,13535,101,1
90,11386,108,1
91,36401,101,1
92,27433,106,1
93,32690,104,1
94,44438,107,2
95,4192,107,1
96,4746,102,2
97,12530,105,2
98,40493,101,1
99,47240,104,3
100,40359,102,1
101,29666,102,2
102,48259,101,1
103,25190,106,1
104,27637,104,3
105,42108,102,2
106,30789,108,1
107,40174,105,1
108,22555,103,1
109,41357,108,1
110,11998,104,1
111,37037,108,2
112,8679,108,2
113,41346,105,1
114,6886,105,1
115,3523,101,1
116,29591,108,1
117,3213,102,1
118,42343,102,1
119,6017,107,1
120,15255,105,1
121,14238,106,1
122,6812,102,1
123,11147,101,1
124,34418,102,1
125,11084,106,1
126,11645,103,1
127,10343,108,2
128,23703,101,1
129,4558,103,1
130,44019,105,2
131,17066,103,1
132,30404,106,1
133,4941,102,1
134,39455,107,1
135,1750,106,2
136,31132,105,1
137,31825,108,1
138,19322,106,1
139,6546,101,1
140,32560,104,1
141,44051,105,1
142,45260,101,1
143,41554,101,2
144,15941,106,3
145,20177,106,1
146,7509,108,1
147,10474,104,1
148,21981,106,1
149,3264,104,2
150,2286,104,2
151,30994,105,1
152,678,108,2
153,32627,106,2
154,12431,108,1
155,26762,106,2
156,27926,101,3
157,5337,101,2
158,17588,106,2
159,34058,103,1
160,26102,108,1
161,35702,108,1
162,26818,107,1
163,31966,106,1
164,30078,101,1
165,4556,101,2
166,49647,105,1
167,6378,108,1
168,29489,105,1
169,10455,108,3
170,15896,107,1
171,30059,105,1
172,12309,106,1
173,24745,108,1
174,3215,106,2
175,24831,104,3
176,32063,102,1
177,45216,105,1
178,46606,101,2
179,45024,108,2
180,39331,105,1
181,16115,106,1
182,3106,105,3
183,45257,102,1
184,40917,101,1
185,30719,104,3
186,22631,101,3
187,11227,106,1
188,17400,103,1
189,38145,108,1
190,11449,107,1
191,14705,102,1
192,34940,105,1
193,1285,107,2
194,22328,102,3
195,40936,104,1
196,24922,107,1
197,29866,101,1
198,21459,103,1
199,30087,103,1
200,25870,105,2
201,23074,102,1
202,45913,106,1
203,43753,101,1
204,8854,101,3
205,16141,102,1
206,37743,102,1
207,41339,106,1
208,3787,101,2
209,28647,103,1
210,45388,101,1
211,45438,107,1
212,20003,107,1
213,41455,105,1
214,10498,104,1
215,12293,107,3
216,31649,106,3
217,37446,106,1
218,36870,104,1
219,37719,108,1
220,2525,105,2
221,17603,104,1
222,33651,102,2
223,16579,107,1
224,43113,106,1
225,14287,107,1
226,21165,104,1
227,46831,101,3
228,29373,103,1
229,19916,105,1
230,1742,107,3
231,42768,108,2
232,26887,102,3
233,23706,107,1
234,27190,103,2
235,1072,107,1
236,40219,108,1
237,25750,108,3
238,25200,105,1
239,8864,102,2
240,32949,105,2
241,49414,108,1
242,21740,102,1
243,35628,104,1
244,31103,102,1
245,9360,104,1
246,4074,105,2
247,20008,103,1
248,42252,101,1
249,10334,101,1
250,8495,105,1
251,21939,101,1
252,12179,108,4
253,4644,107,1
254,1547,104,1
255,13265,101,1
256,36375,106,3
257,19477,105,1
258,6785,107,2
259,42644,101,2
260,22097,106,4
261,30660,104,1
262,16927,102,3
263,24303,103,1
264,44348,101,1
265,9570,107,1
266,25878,102,1
267,44202,102,1
268,32184,108,1
269,4058,101,1
270,49660,108,1
271,26155,108,1
272,33316,105,1
273,9935,101,3
274,598,101,1
275,21452,105,1
276,686,105,2
277,28952,106,1
278,26127,102,1
279,20239,101,1
280,21988,106,2
281,26674,106,4
282,36041,102,1
283,18685,103,1
284,30132,105,3
285,44763,104,2
286,759,103,2
287,28972,104,1
288,30325,108,1
289,43084,104,3
290,28579,104,1
291,16382,102,1
292,15443,108,1
293,30722,102,1
294,14213,104,1
295,18523,106,2
296,47635,104,1
297,9199,106,2
298,48362,107,1
299,3518,102,2
300,33256,108,1
301,45565,105,1
302,43708,102,1
303,20964,102,1
304,48454,102,1
305,19164,107,2
306,26523,107,1
307,3933,108,4
308,49072,106,1
309,34540,103,1
