order_id,customer_id,order_date,store_city,total_amount
1,880,2025-05-28 15:18:00,krakow,79.06
2,8833,2025-01-25 08:35:00,poznan,67.68
3,19,2025-01-24 11:58:00,poznan,45.74
4,5321,08/02/2025 19:09,krakow,80.98
5,3642,2025-02-04 21:14:00,krakow,87.68
6,2286,30/03/2025 21:01,Poznan,59.58
7,5364,2025-05-22 17:06:00,gdansk,85.06
8,9857,2025-03-30 07:18:00,warsaw,19.15
9,8559,2025-02-14 14:03:00,warsaw,14.3
10,2084,06/02/2025 21:05,warsaw,69.65
11,6132,2025-05-26 20:04:00,Krakow,62.39
12,4237,2025-01-03 22:47:00,Poznan,27.95
13,6865,21/03/2025 19:46,warsaw,62.41
14,3877,2025-02-26 16:24:00,gdansk,
15,2440,2025-01-02 18:31:00,gdansk,88.64
16,2674,2025-03-08 14:22:00,krakow,49.29
17,63,2025-03-23 10:47:00,warsaw,63.45
18,2501,2025-05-11 19:54:00,gdansk,84.8
19,7242,2025-02-03 15:04:00,krakow,45.35
20,985,2025-05-11 15:50:00,gdansk,76.39
21,8202,13/06/2025 13:23,Poznan,84.61
22,5040,2025-05-25 22:19:00,Krakow,35.06
23,2471,2025-01-14 16:46:00,warsaw,40.27
24,5848,2025-01-23 17:50:00,Poznan,58.37
25,1441,2025-03-07 12:01:00,Krakow,32.11
26,8704,2025-07-16 10:06:00,Gdansk,71.93
27,9614,07/02/2025 21:15,warsaw,28.68
28,6639,15/03/2025 12:46,krakow,56.93
29,2978,2025-04-14 15:55:00,Warsaw,17.87
30,3056,2025-01-24 12:52:00,krakow,62.52
31,8649,2025-03-05 07:07:00,Gdansk,
32,8278,2025-04-19 07:52:00,gdansk,18.04
33,9744,2025-04-09 08:03:00,gdansk,
34,7780,25/04/2025 08:05,warsaw,85.07
35,9090,2025-01-30 14:06:00,Poznan,17.91
36,5813,2025-04-17 08:49:00,warsaw,70.61
37,7646,2025-06-25 08:46:00,Poznan,61.84
38,7169,2025-05-15 17:55:00,warsaw,
39,7269,2025-03-29 14:21:00,warsaw,11.81
40,1835,2025-05-14 07:30:00,gdansk,70.84
41,2534,17/04/2025 10:27,Gdansk,18.89
42,8035,2025-02-03 13:43:00,krakow,60.7
43,9170,2025-07-18 10:34:00,krakow,28.13
44,5766,2025-01-28 07:11:00,gdansk,63.9
45,2212,2025-04-30 08:00:00,warsaw,79.45
46,6299,2025-02-24 19:11:00,Warsaw,41.26
47,7250,2025-06-04 19:35:00,krakow,41.87
48,5975,2025-06-24 18:04:00,Poznan,29.67
49,6364,2025-06-28 11:05:00,Krakow,77.1
50,4228,2025-01-19 07:30:00,Poznan,39.12
51,3640,2025-07-20 12:18:00,Gdansk,65.59
52,1756,2025-05-28 11:18:00,warsaw,15.28
53,3746,2025-07-09 20:38:00,Warsaw,
54,9013,2025-01-12 11:06:00,krakow,
55,3813,2025-04-10 16:25:00,Gdansk,63.42
56,4525,21/03/2025 09:05,Warsaw,
57,6955,2025-05-08 20:16:00,Poznan,50.45
58,8946,2025-02-01 17:30:00,poznan,69.56
59,6097,2025-07-17 09:57:00,warsaw,74.57
60,748,15/07/2025 22:32,Poznan,22.38
61,6059,2025-07-15 21:10:00,poznan,22.28
62,448,2025-07-17 15:27:00,Warsaw,12.93
63,7876,2025-04-28 13:03:00,poznan,38.93
64,5029,2025-05-17 14:30:00,Warsaw,
65,5314,2025-02-28 07:49:00,Poznan,75.71
66,4253,2025-06-30 21:42:00,gdansk,
67,4920,2025-07-17 19:43:00,warsaw,81.48
68,2357,2025-01-12 21:26:00,krakow,45.63
69,6569,2025-05-03 09:55:00,gdansk,37.06
70,8257,2025-05-02 20:44:00,Gdansk,27.43
71,8575,2025-05-02 08:26:00,Gdansk,73.79
72,5683,11/04/2025 14:11,warsaw,39.64
73,7363,2025-01-07 11:30:00,Krakow,16.7
74,947,20/04/2025 15:49,Krakow,62.5
75,7149,2025-07-08 22:32:00,krakow,66.85
76,6594,2025-01-20 07:15:00,warsaw,21.77
77,2413,2025-07-11 11:29:00,warsaw,66.49
78,6979,2025-05-04 10:06:00,gdansk,76.41
79,8900,05/06/2025 10:31,warsaw,72.36
80,2880,2025-04-06 10:18:00,warsaw,56.17
81,2953,27/01/2025 20:37,warsaw,74.52
82,6513,2025-07-11 20:36:00,krakow,
83,317,10/03/2025 22:53,Warsaw,12.02
84,540,2025-02-25 09:25:00,Krakow,72.28
85,3668,2025-03-16 13:13:00,Krakow,24.68
86,88,2025-01-29 21:10:00,warsaw,44.66
87,5732,19/05/2025 14:36,krakow,84.37
88,2589,2025-06-07 17:06:00,warsaw,58.38
89,3641,2025-07-14 22:11:00,Warsaw,81.58
90,6878,2025-03-31 08:19:00,warsaw,44.34
91,5832,2025-04-26 19:41:00,Gdansk,79.04
92,8285,2025-02-22 22:16:00,krakow,39.89
93,356,2025-05-20 20:19:00,Krakow,49.61
94,9749,13/02/2025 08:34,Poznan,18.26
95,3903,2025-01-12 12:11:00,Krakow,72.13
96,2571,2025-06-08 08:17:00,warsaw,12.77
97,1102,2025-03-31 13:15:00,warsaw,
98,1860,2025-01-11 11:51:00,Poznan,36.51
99,6633,2025-06-08 14:21:00,warsaw,64.64
100,2658,2025-05-29 16:44:00,warsaw,70.4
101,5683,2025-03-17 14:25:00,Poznan,20.58
102,9500,2025-05-25 14:07:00,krakow,31.56
103,2194,2025-01-15 21:49:00,Poznan,35.04
104,9634,2025-01-15 10:09:00,krakow,25.85
105,4395,06/04/2025 15:10,warsaw,
106,2170,2025-06-14 09:36:00,poznan,59.77
107,2099,16/02/2025 19:28,warsaw,48.53
108,1686,2025-04-19 15:30:00,krakow,50.7
109,9357,2025-02-06 07:56:00,warsaw,74.69
110,1001,2025-06-01 12:42:00,poznan,31.49
111,5207,18/02/2025 12:45,Krakow,28.42
112,809,2025-01-25 15:13:00,warsaw,56.55
113,2079,2025-05-13 21:31:00,krakow,21.17
114,4168,2025-04-06 15:55:00,warsaw,50.14
115,122,2025-06-10 17:44:00,gdansk,57.26
116,3424,19/03/2025 22:31,gdansk,40.58
117,937,2025-03-02 12:37:00,Krakow,38.34
118,8516,2025-02-12 17:29:00,krakow,86.8
119,5254,2025-03-27 18:47:00,warsaw,69.11
120,4361,2025-06-29 20:45:00,Warsaw,73.08
121,5225,2025-04-12 22:08:00,warsaw,38.99
122,5741,2025-07-08 18:05:00,warsaw,54.44
123,4914,2025-01-03 10:34:00,gdansk,63.1
124,1486,2025-04-25 12:35:00,warsaw,30.16
125,221,2025-02-13 12:15:00,warsaw,55.58
126,4298,2025-06-05 20:25:00,krakow,13.18
127,645,2025-03-29 08:37:00,poznan,15.34
128,3290,05/01/2025 14:39,warsaw,16.75
129,95,2025-05-18 12:08:00,gdansk,17.49
130,5249,2025-06-27 08:26:00,krakow,21.49
131,7143,13/04/2025 15:25,poznan,43.44
132,5335,2025-02-03 19:18:00,warsaw,85.15
133,3653,2025-02-28 21:11:00,krakow,45.58
134,4244,2025-06-22 10:13:00,warsaw,72.92
135,4714,2025-03-14 09:27:00,krakow,67.23
136,6885,2025-01-30 13:29:00,Gdansk,81.58
137,738,2025-07-12 08:27:00,krakow,30.08
